"Product URL","Title","Description","Price","Sale Price","Categories","Tags","Visible","Hosted Image URLs"
"redtee2-8pgh6","Christmas Tree - Festive PLA Decoration","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Bring holiday cheer to any space with this locally made 3D printed Christmas tree. Crafted from eco-friendly PLA plastic right here in the Bay Area, it’s lightweight, durable, and perfect for decorating desks, shelves, or holiday tables. Each piece is printed with care and finished by hand for a smooth, festive look. Great for gifting or adding a touch of holiday spirit to your own home.</p>","52.49","44.49","/holiday-seasonal","","No","https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/d10dc420-f57b-4aa4-8bba-6c5045a673e2/IMG_5533.jpg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/ab802786-c343-4ddc-a89b-f6718ea5d596/IMG_5535.jpg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/f77782ac-9759-42c6-a2d3-13970586aeda/IMG_5536.jpg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/47372cf4-d7f1-4a03-b787-dd62abf3d9e0/IMG_5537.jpg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/9cf9be49-008c-494e-9850-2499ab2b14fa/IMG_5538.jpg"
"redtee2-8pgh6-e9hl7","Dino Buddy - Brachio Toy","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Bring prehistoric charm to your desk or shelf with <strong>Dino Buddy</strong>, a 3D printed miniature inspired by the gentle giants of the Jurassic era. Crafted with smooth precision, this little dinosaur adds a playful touch to any space — perfect as a collectible, desk companion, or gift for dinosaur lovers and 3D printing enthusiasts.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Each Dino Buddy is <strong>3D printed with eco-friendly PLA</strong>, featuring a lightweight and durable design that highlights the texture and detail of modern 3D craftsmanship.</p>","18.49","15.99","/toys-figures","","No","https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/9bbd3aa5-9f49-4a05-9170-b9adfe44ce5f/IMG_5540.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/a4550e68-17f6-47a5-ad98-26b7fcc701ba/IMG_5539.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/cba0ce0e-7402-42c9-8bdc-3e51ef9e64af/IMG_5542.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/fad508ac-6877-4ebe-abcc-2cd621e10bdd/IMG_5541.jpeg"
"","","","18.49","15.99","","","",""
"","","","18.49","15.99","","","",""
"","","","18.49","15.99","","","",""
"","","","18.49","15.99","","","",""
"","","","18.49","15.99","","","",""
"3d-printed-dragon-dice-tower-with-matching-dice-fantasy-tabletop-accessory","Dragon Dice Tower with Matching Dice - Fantasy Tabletop Accessory","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Add a touch of fantasy to your tabletop games with this 3D printed <strong>Dragon Dice Tower</strong>, complete with a matching dice. A detailed dragon perches at the top of the tower, giving it a bold and magical look that fits perfectly with D&amp;D, RPG adventures, and board game nights.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Locally 3D printed in the Bay Area using durable PLA, this tower delivers <strong>smooth, consistent dice rolls</strong> while keeping everything contained and easy to read. It’s lightweight, sturdy, and compact enough to travel with — making it great for home sessions, meetups, or conventions.</p>","51.99","43.99","/toys-figures","","No","https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/99df6a23-1c58-4d33-9ecc-afaaf404378c/IMG_5560.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/81276343-cc09-429b-89c5-0a53efa54567/IMG_5551.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/dd7b406c-e444-4cd3-b555-662d40b558f7/IMG_5550.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/d63b57d5-ffe7-47cd-b26d-e977439f90da/IMG_5546.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/a64db712-c4d5-473c-bfab-5c065f73d4d2/IMG_5547.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/193818f7-bdfa-48a2-9889-1aa0be7781da/IMG_5548.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/1ea9e8f7-5079-4ebc-8ee3-b5c1067db64b/IMG_5549.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/e81fb83a-b754-43b6-9841-f29de988d178/IMG_5552.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/8c6720d6-b678-458a-a4e2-de9f5e6ea158/IMG_5553.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/35f028f1-64ef-4c4e-a8dd-befe7d969eb3/IMG_5554.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/a2d5ef65-eb8a-4268-95b0-9078a21e8928/IMG_5555.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/07adb7d5-02fb-4e9d-94bf-1926082ee0d7/IMG_5556.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/b5d8b13b-b98d-4ac5-833e-4aca314361d6/IMG_5557.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/1167ac27-8f65-4024-83b0-2c6a98a6d937/IMG_5558.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/9b9a64cc-b207-4cc0-907a-d380d1022864/IMG_5559.jpeg https://images.squarespace-cdn.com/content/v1/6914262184e7d41fe3ac8966/8d20331f-7926-4365-aebd-41841097d897/IMG_5561.jpeg"
"","","","51.99","43.99","","","",""
"","","","51.99","43.99","","","",""
